match_id,date,league,season,team_id,team_name,opponent_id,opponent_name,result,team_xG_last_1,team_deep_last_1,team_xG_against_last_1,team_deep_against_last_1,team_ppda_att_last_1,team_ppda_def_last_1,team_xG_last_1_carry,team_deep_last_1_carry,team_xG_against_last_1_carry,team_deep_against_last_1_carry,team_ppda_att_last_1_carry,team_ppda_def_last_1_carry,team_xG_last_3,team_deep_last_3,team_xG_against_last_3,team_deep_against_last_3,team_ppda_att_last_3,team_ppda_def_last_3,team_xG_last_3_carry,team_deep_last_3_carry,team_xG_against_last_3_carry,team_deep_against_last_3_carry,team_ppda_att_last_3_carry,team_ppda_def_last_3_carry,team_xG_last_5,team_deep_last_5,team_xG_against_last_5,team_deep_against_last_5,team_ppda_att_last_5,team_ppda_def_last_5,team_xG_last_5_carry,team_deep_last_5_carry,team_xG_against_last_5_carry,team_deep_against_last_5_carry,team_ppda_att_last_5_carry,team_ppda_def_last_5_carry,matches_played_in_season_before,form_score_5,form_score_10,form_score_5_carry,form_score_10_carry,form_momentum,current_streak,unbeaten_streak,winless_streak,prev_season_points_per_game,prev_season_avg_xG,prev_season_avg_xG_against,prev_season_avg_deep,prev_season_avg_deep_against,prev_season_avg_ppda_att,prev_season_avg_ppda_def,prev_season_match_count,team_season_points_per_game,team_season_points_per_game_carry,team_season_avg_xG,team_season_avg_xG_against,team_season_avg_deep,team_season_avg_deep_against,team_season_avg_ppda_att,team_season_avg_ppda_def,team_season_avg_xG_carry,team_season_avg_xG_against_carry,team_season_avg_deep_carry,team_season_avg_deep_against_carry,team_season_avg_ppda_att_carry,team_season_avg_ppda_def_carry,team_rest_days,xG_efficiency_5,recent_xG_trend,defensive_trend,market_home_win_odds_open,market_draw_odds_open,market_away_win_odds_open,away_team_id,away_team_name,opponent_xG_last_1,opponent_deep_last_1,opponent_xG_against_last_1,opponent_deep_against_last_1,opponent_ppda_att_last_1,opponent_ppda_def_last_1,opponent_xG_last_1_carry,opponent_deep_last_1_carry,opponent_xG_against_last_1_carry,opponent_deep_against_last_1_carry,opponent_ppda_att_last_1_carry,opponent_ppda_def_last_1_carry,opponent_xG_last_3,opponent_deep_last_3,opponent_xG_against_last_3,opponent_deep_against_last_3,opponent_ppda_att_last_3,opponent_ppda_def_last_3,opponent_xG_last_3_carry,opponent_deep_last_3_carry,opponent_xG_against_last_3_carry,opponent_deep_against_last_3_carry,opponent_ppda_att_last_3_carry,opponent_ppda_def_last_3_carry,opponent_xG_last_5,opponent_deep_last_5,opponent_xG_against_last_5,opponent_deep_against_last_5,opponent_ppda_att_last_5,opponent_ppda_def_last_5,opponent_xG_last_5_carry,opponent_deep_last_5_carry,opponent_xG_against_last_5_carry,opponent_deep_against_last_5_carry,opponent_ppda_att_last_5_carry,opponent_ppda_def_last_5_carry,opponent_matches_played_in_season_before,opponent_form_score_5,opponent_form_score_10,opponent_form_score_5_carry,opponent_form_score_10_carry,opponent_form_momentum,opponent_current_streak,opponent_unbeaten_streak,opponent_winless_streak,opponent_prev_season_points_per_game,opponent_prev_season_avg_xG,opponent_prev_season_avg_xG_against,opponent_prev_season_avg_deep,opponent_prev_season_avg_deep_against,opponent_prev_season_avg_ppda_att,opponent_prev_season_avg_ppda_def,opponent_prev_season_match_count,opponent_season_points_per_game,opponent_season_points_per_game_carry,opponent_season_avg_xG,opponent_season_avg_xG_against,opponent_season_avg_deep,opponent_season_avg_deep_against,opponent_season_avg_ppda_att,opponent_season_avg_ppda_def,opponent_season_avg_xG_carry,opponent_season_avg_xG_against_carry,opponent_season_avg_deep_carry,opponent_season_avg_deep_against_carry,opponent_season_avg_ppda_att_carry,opponent_season_avg_ppda_def_carry,opponent_rest_days,opponent_xG_efficiency_5,opponent_recent_xG_trend,opponent_defensive_trend,rest_days_diff,rest_days_ratio,relative_form_5,relative_form_10,relative_form_5_carry,relative_form_10_carry,xG_efficiency_gap_5,xG_trend_gap,defensive_trend_gap,prev_season_points_per_game_gap,prev_season_xG_gap,prev_season_defensive_gap,season_points_per_game_gap,xG_advantage_1,defensive_advantage_1,deep_advantage_1,ppda_advantage_1,xG_advantage_1_carry,defensive_advantage_1_carry,deep_advantage_1_carry,ppda_advantage_1_carry,xG_advantage_3,defensive_advantage_3,deep_advantage_3,ppda_advantage_3,xG_advantage_3_carry,defensive_advantage_3_carry,deep_advantage_3_carry,ppda_advantage_3_carry,xG_advantage_5,defensive_advantage_5,deep_advantage_5,ppda_advantage_5,xG_advantage_5_carry,defensive_advantage_5_carry,deep_advantage_5_carry,ppda_advantage_5_carry,market_overround_open,market_home_prob_open,market_draw_prob_open,market_away_prob_open,market_home_minus_away_prob_open,market_non_draw_prob_open,market_favorite_prob_open,market_favorite_gap_open,market_entropy_open,target,team_elo_rating,opponent_elo_rating,elo_rating_gap,elo_win_probability,selected_outcome,selected_odds,predicted_probability,market_probability,edge,expected_value,won_bet,profit,bet_is_market_favorite
EPL 2025_220_81_2025-12-07 14:00:00,2025-12-07 14:00:00,EPL,2025,220,Brighton,81,West Ham,d,1.96298,5.0,3.15745,11.0,246.0,41.0,1.96298,5.0,3.15745,11.0,246.0,41.0,1.6658893333333331,7.666666666666667,2.105855,9.666666666666666,226.66666666666663,30.33333333333333,1.6658893333333331,7.666666666666667,2.105855,9.666666666666666,226.66666666666663,30.33333333333333,1.6551950000000002,7.4,1.5032604000000005,8.2,240.2,26.6,1.6551950000000002,7.4,1.5032604000000005,8.2,240.2,26.6,14.0,10.0,18.0,10.0,18.0,0.1999999999999999,-1,0,1,1.605263157894737,1.717812368421053,1.5558945,8.473684210526315,6.394736842105263,254.07894736842104,25.57894736842105,38.0,1.5714285714285714,1.5714285714285714,1.5507204285714289,1.473541357142857,6.0,7.428571428571429,243.42857142857144,25.785714285714285,1.5507204285714289,1.473541357142857,6.0,7.428571428571429,243.42857142857144,25.785714285714285,3.7708333333333335,1.2083168446970516,0.2319127083333332,0.7144617499999999,1.56,4.52,5.73,81,West Ham,1.36584,8.0,2.27674,7.0,248.0,24.0,1.36584,8.0,2.27674,7.0,248.0,24.0,0.7069246666666665,5.0,2.442553333333333,8.333333333333334,268.3333333333333,19.33333333333333,0.7069246666666665,5.0,2.442553333333333,8.333333333333334,268.3333333333333,19.33333333333333,1.3003768,4.4,1.945211,7.8,279.4,18.0,1.3003768,4.4,1.945211,7.8,279.4,18.0,14.0,8.0,9.0,8.0,9.0,0.7000000000000001,0,1,3,1.131578947368421,1.3312907894736845,1.791778105263158,5.894736842105263,8.31578947368421,242.7894736842105,19.81578947368421,38.0,0.8571428571428571,0.8571428571428571,0.9953025714285716,2.044431,4.714285714285714,7.714285714285714,268.07142857142856,17.5,0.9953025714285716,2.044431,4.714285714285714,7.714285714285714,268.07142857142856,17.5,2.75,1.2304126002201188,-0.3087424583333334,0.1335152083333333,1.0208333333333337,1.371212121212121,2.0,9.0,2.0,9.0,-0.0220957555230671,0.5406551666666667,0.5809465416666666,0.4736842105263159,0.3865215789473684,0.2358836052631581,0.7142857142857143,0.59714,-0.8807099999999997,-3.0,2.0,0.59714,-0.8807099999999997,-3.0,2.0,0.9589646666666668,0.3366983333333331,2.666666666666667,41.66666666666666,0.9589646666666668,0.3366983333333331,2.666666666666667,41.66666666666666,0.3548182000000002,0.4419505999999997,3.0,39.19999999999999,0.3548182000000002,0.4419505999999997,3.0,39.19999999999999,1.0367846488867662,0.6182823421565257,0.2133894809212788,0.1683281769221954,0.4499541652343302,0.7866105190787211,0.6182823421565257,0.4048928612352468,0.9268193353980146,1,1563.052760283505,1459.228506561903,103.82425372160196,0.7197149704589967,draw,4.52,0.4834966,0.21338948092127882,0.2701071254286662,1.1854046607017517,True,3.5199999999999996,False
EPL 2025_220_92_2026-01-03 15:00:00,2026-01-03 15:00:00,EPL,2025,220,Brighton,92,Burnley,w,3.08914,5.0,2.27644,5.0,178.0,26.0,3.08914,5.0,2.27644,5.0,178.0,26.0,1.5728253333333333,7.0,2.0433533333333336,7.0,198.33333333333331,22.0,1.5728253333333333,7.0,2.0433533333333336,7.0,198.33333333333331,22.0,1.7018571999999998,7.4,2.049832,7.2,204.8,23.6,1.7018571999999998,7.4,2.049832,7.2,204.8,23.6,19.0,3.0,13.0,3.0,13.0,-0.7000000000000001,0,1,6,1.605263157894737,1.717812368421053,1.5558945,8.473684210526315,6.394736842105263,254.07894736842104,25.57894736842105,38.0,1.3157894736842106,1.3157894736842106,1.5904932631578947,1.6251967894736843,6.368421052631579,7.368421052631579,233.26315789473685,25.210526315789476,1.5904932631578947,1.6251967894736843,6.368421052631579,7.368421052631579,233.26315789473685,25.210526315789476,3.8125,0.3525560193472689,-0.1155439166666667,-0.0274872916666661,1.5,4.54,6.59,92,Burnley,1.32551,11.0,2.49248,7.0,282.0,23.0,1.32551,11.0,2.49248,7.0,282.0,23.0,1.018506,6.0,1.85433,8.333333333333334,230.66666666666663,22.0,1.018506,6.0,1.85433,8.333333333333334,230.66666666666663,22.0,1.3388256,5.6,1.80412,9.0,260.2,20.4,1.3388256,5.6,1.80412,9.0,260.2,20.4,19.0,2.0,2.0,2.0,2.0,0.2,-1,0,10,,,,,,,,,0.631578947368421,0.631578947368421,1.0206422105263158,2.1869455789473684,4.368421052631579,8.68421052631579,280.05263157894734,21.210526315789476,1.0206422105263158,2.1869455789473684,4.368421052631579,8.68421052631579,280.05263157894734,21.210526315789476,3.8125,0.2987693094158388,-0.156196,-0.076968375,0.0,1.0,1.0,11.0,1.0,11.0,0.05378670993143,0.0406520833333332,0.0494810833333339,,,,0.6842105263157896,1.76363,0.21604,-6.0,104.0,1.76363,0.21604,-6.0,104.0,0.5543193333333332,-0.1890233333333335,1.0,32.333333333333314,0.5543193333333332,-0.1890233333333335,1.0,32.333333333333314,0.3630315999999998,-0.2457119999999999,1.8000000000000007,55.39999999999998,0.3630315999999998,-0.2457119999999999,1.8000000000000007,55.39999999999998,1.0386760521325642,0.6418427240118763,0.2120625740127344,0.1460947019753891,0.4957480220364871,0.7879374259872656,0.6418427240118763,0.4297801499991418,0.8944962558299474,2,1543.1423156796773,1393.6793186349178,149.4629970447595,0.7695489230066629,draw,4.54,0.40101567,0.21206257401273446,0.18895309509470268,0.8206111377477645,False,-1.0,False
EPL 2025_228_89_2025-08-24 15:30:00,2025-08-24 15:30:00,EPL,2025,228,Fulham,89,Manchester United,d,0.902883,6.0,1.44008,5.0,292.0,18.0,0.902883,6.0,1.44008,5.0,292.0,18.0,0.902883,6.0,1.44008,5.0,292.0,18.0,1.3185647543859649,6.070175438596491,1.3437554210526317,5.631578947368421,262.9122807017544,19.68421052631579,0.902883,6.0,1.44008,5.0,292.0,18.0,1.4017011052631578,6.08421052631579,1.324490505263158,5.757894736842106,257.09473684210525,20.021052631578947,1.0,1.0,1.0,6.684210526315789,13.789473684210526,0.1,0,1,1,1.4210526315789471,1.5264056315789474,1.2955931315789475,6.105263157894737,5.947368421052632,248.3684210526316,20.526315789473685,38.0,1.0,1.0,0.902883,1.44008,6.0,5.0,292.0,18.0,0.902883,1.44008,6.0,5.0,292.0,18.0,8.0625,1.1075632157128186,0.0,0.0,3.3,3.54,2.23,89,Manchester United,1.37653,7.0,1.3304,3.0,166.0,21.0,1.37653,7.0,1.3304,3.0,166.0,21.0,1.37653,7.0,1.3304,3.0,166.0,21.0,1.4572873684210528,7.754385964912281,1.5088615789473685,4.824561403508771,210.94736842105263,22.456140350877195,1.37653,7.0,1.3304,3.0,166.0,21.0,1.473438842105263,7.905263157894737,1.544553894736842,5.189473684210526,219.9368421052632,22.747368421052634,1.0,0.0,0.0,4.421052631578948,9.947368421052632,0.0,-1,0,1,1.105263157894737,1.497666052631579,1.5980923684210526,8.131578947368421,5.7368421052631575,233.42105263157896,23.18421052631579,38.0,0.0,0.0,1.37653,1.3304,7.0,3.0,166.0,21.0,1.37653,1.3304,7.0,3.0,166.0,21.0,7.0,0.0,0.0,0.0,1.0625,1.1517857142857142,1.0,1.0,2.2631578947368416,3.842105263157894,1.1075632157128186,0.0,0.0,0.3157894736842104,0.0287395789473683,0.3024992368421051,1.0,-0.473647,-0.10968,-1.0,-126.0,-0.473647,-0.10968,-1.0,-126.0,-0.473647,-0.10968,-1.0,-126.0,-0.1387226140350879,0.1651061578947368,-1.6842105263157905,-51.964912280701725,-0.473647,-0.10968,-1.0,-126.0,-0.0717377368421052,0.2200633894736841,-1.8210526315789477,-37.15789473684208,1.0339466720100603,0.2930811725919985,0.2732112625857614,0.43370756482224,-0.1406263922302414,0.7267887374142386,0.43370756482224,0.1406263922302414,1.0765072111522351,1,1516.8758184078608,1483.7175188512176,33.158299556643215,0.6309425011381057,draw,3.54,0.50377977,0.2732112625857614,0.23056850635802523,0.7833803820610046,True,2.54,False
EPL 2025_228_81_2026-03-04 19:30:00,2026-03-04 19:30:00,EPL,2025,228,Fulham,81,West Ham,l,2.3207,12.0,0.952091,6.0,220.0,21.0,2.3207,12.0,0.952091,6.0,220.0,21.0,1.84683,7.666666666666667,1.4634036666666663,9.0,280.0,21.0,1.84683,7.666666666666667,1.4634036666666663,9.0,280.0,21.0,1.892346,8.2,1.6243222,8.0,256.6,19.8,1.892346,8.2,1.6243222,8.0,256.6,19.8,28.0,6.0,14.0,6.0,14.0,-0.1999999999999999,2,2,0,1.4210526315789471,1.5264056315789474,1.2955931315789475,6.105263157894737,5.947368421052632,248.3684210526316,20.526315789473685,38.0,1.4285714285714286,1.4285714285714286,1.283214392857143,1.5898908214285714,7.25,6.785714285714286,254.28571428571428,19.464285714285715,1.283214392857143,1.5898908214285714,7.25,6.785714285714286,254.28571428571428,19.464285714285715,3.2291666666666665,0.6341335040596029,0.35769425,-0.3726189583333334,2.0,3.5,3.7,81,West Ham,1.3517,5.0,2.09939,14.0,193.0,26.0,1.3517,5.0,2.09939,14.0,193.0,26.0,1.6677599999999997,4.666666666666667,1.119296,7.333333333333333,265.6666666666667,23.0,1.6677599999999997,4.666666666666667,1.119296,7.333333333333333,265.6666666666667,23.0,1.5702859999999998,4.8,1.5731316000000002,6.8,280.4,19.2,1.5702859999999998,4.8,1.5731316000000002,6.8,280.4,19.2,28.0,5.0,12.0,5.0,12.0,-0.1999999999999999,-1,0,3,1.131578947368421,1.3312907894736845,1.791778105263158,5.894736842105263,8.31578947368421,242.7894736842105,19.81578947368421,38.0,0.8928571428571429,0.8928571428571429,1.290398,1.8872061785714287,4.714285714285714,7.107142857142857,271.0357142857143,19.142857142857142,1.290398,1.8872061785714287,4.714285714285714,7.107142857142857,271.0357142857143,19.142857142857142,4.1875,0.6368266671629466,-0.1500850000000002,-0.3181097499999998,-0.9583333333333336,0.7711442786069651,1.0,2.0,1.0,2.0,-0.0026931631033436,0.5077792500000002,-0.0545092083333336,0.2894736842105263,0.1951148421052631,0.4961849736842105,0.5357142857142857,0.969,1.147299,7.0,-27.0,0.969,1.147299,7.0,-27.0,0.1790700000000002,-0.3441076666666665,3.0,-14.333333333333314,0.1790700000000002,-0.3441076666666665,3.0,-14.333333333333314,0.32206,-0.0511905999999997,3.3999999999999995,23.799999999999955,0.32206,-0.0511905999999997,3.3999999999999995,23.799999999999955,1.055984555984556,0.473491773308958,0.2705667276051188,0.2559414990859232,0.2175502742230348,0.7294332723948812,0.473491773308958,0.2029250457038391,1.056485687865177,0,1528.173843750498,1451.2040736728236,76.96977007767441,0.687500862933219,draw,3.5,0.5641902,0.2705667276051188,0.29362348130677696,0.9746657311916351,False,-1.0,False
EPL 2025_229_81_2026-01-03 15:00:00,2026-01-03 15:00:00,EPL,2025,229,Wolverhampton Wanderers,81,West Ham,w,1.21784,7.0,1.13306,6.0,296.0,17.0,1.21784,7.0,1.13306,6.0,296.0,17.0,1.0889113333333336,5.0,1.42039,9.0,294.6666666666667,20.33333333333333,1.0889113333333336,5.0,1.42039,9.0,294.6666666666667,20.33333333333333,0.8297702000000001,4.8,1.985242,9.8,282.0,22.6,0.8297702000000001,4.8,1.985242,9.8,282.0,22.6,19.0,1.0,1.0,1.0,1.0,0.1,0,1,19,1.105263157894737,1.193961868421053,1.620319894736842,5.657894736842105,7.473684210526316,252.26315789473685,21.86842105263158,38.0,0.1578947368421052,0.1578947368421052,0.8640102105263159,1.689512052631579,5.052631578947368,8.31578947368421,252.26315789473685,22.73684210526316,0.8640102105263159,1.689512052631579,5.052631578947368,8.31578947368421,252.26315789473685,22.73684210526316,3.78125,0.2410305888929174,0.1476439583333335,-0.2863962500000001,2.53,3.44,2.88,81,West Ham,2.27644,5.0,3.08914,5.0,305.0,21.0,2.27644,5.0,3.08914,5.0,305.0,21.0,1.4783533333333334,6.0,2.595126666666667,8.0,324.0,21.0,1.4783533333333334,6.0,2.595126666666667,8.0,324.0,21.0,1.4836939999999998,4.2,2.0962486,7.0,317.2,21.2,1.4836939999999998,4.2,2.0962486,7.0,317.2,21.2,19.0,2.0,10.0,2.0,10.0,-0.6,0,1,8,1.131578947368421,1.3312907894736845,1.791778105263158,5.894736842105263,8.31578947368421,242.7894736842105,19.81578947368421,38.0,0.7368421052631579,0.7368421052631579,1.1238266315789474,2.058067210526316,4.578947368421052,7.526315789473684,281.0,18.473684210526315,1.1238266315789474,2.058067210526316,4.578947368421052,7.526315789473684,281.0,18.473684210526315,3.8125,0.2695973697717188,0.2859478333333334,0.3690137916666667,-0.03125,0.9918032786885246,-1.0,-9.0,-1.0,-9.0,-0.0285667808788014,-0.1383038749999998,-0.6554100416666668,-0.026315789473684,-0.1373289210526316,0.171458210526316,-0.5789473684210527,-1.0586,1.95608,2.0,9.0,-1.0586,1.95608,2.0,9.0,-0.3894419999999998,1.1747366666666668,-1.0,29.333333333333314,-0.3894419999999998,1.1747366666666668,-1.0,29.333333333333314,-0.6539237999999997,0.1110065999999998,0.5999999999999996,35.19999999999999,-0.6539237999999997,0.1110065999999998,0.5999999999999996,35.19999999999999,1.0331768136368744,0.3825646411911896,0.2813629483179389,0.3360724104908714,0.0464922307003182,0.718637051682061,0.3825646411911896,0.0464922307003182,1.0908522548751924,2,1378.110542598348,1443.8128682244226,-65.70232562607453,0.4917944305366287,draw,3.44,0.46117824,0.2813629483179389,0.1798152948423089,0.5864531564712525,False,-1.0,False
EPL 2025_244_83_2026-02-12 20:00:00,2026-02-12 20:00:00,EPL,2025,244,Brentford,83,Arsenal,d,1.65022,11.0,3.3215,8.0,221.0,20.0,1.65022,11.0,3.3215,8.0,221.0,20.0,1.323088666666667,8.666666666666666,2.2880800000000003,10.333333333333334,198.66666666666663,19.666666666666668,1.323088666666667,8.666666666666666,2.2880800000000003,10.333333333333334,198.66666666666663,19.666666666666668,1.8610872,9.6,1.998662,7.4,219.4,20.2,1.8610872,9.6,1.998662,7.4,219.4,20.2,25.0,9.0,20.0,9.0,20.0,-0.1999999999999999,2,2,0,1.4736842105263157,1.7663104473684212,1.601705210526316,7.315789473684211,10.36842105263158,212.81578947368425,19.57894736842105,38.0,1.56,1.56,1.78736788,1.49760156,6.48,6.48,236.24,20.6,1.78736788,1.49760156,6.48,6.48,236.24,20.6,5.104166666666667,0.9671766050545964,-0.647515083333333,0.5169413750000003,4.75,3.9,1.7,83,Arsenal,1.19401,9.0,0.427225,1.0,236.0,26.0,1.19401,9.0,0.427225,1.0,236.0,26.0,2.05413,9.0,0.4156123333333333,1.0,222.0,22.666666666666668,2.05413,9.0,0.4156123333333333,1.0,222.0,22.666666666666668,1.9454904,9.8,0.376792,1.6,214.6,21.8,1.9454904,9.8,0.376792,1.6,214.6,21.8,25.0,8.0,23.0,8.0,23.0,-0.6999999999999997,2,2,0,1.947368421052632,1.936050131578948,1.0521016236842105,9.63157894736842,4.105263157894737,193.55263157894737,22.0,38.0,2.24,2.24,2.01959604,0.768803568,9.36,3.2,199.08,21.16,2.01959604,0.768803568,9.36,3.2,199.08,21.16,5.208333333333333,0.8224147494305379,-0.1913677499999999,-0.3948651666666666,-0.104166666666666,0.98,1.0,-3.0,1.0,-3.0,0.1447618556240584,-0.456147333333333,0.911806541666667,-0.4736842105263159,-0.1697396842105263,-0.5496035868421054,-0.6800000000000002,0.45621,-2.894275,2.0,15.0,0.45621,-2.894275,2.0,15.0,-0.7310413333333332,-1.872467666666667,-0.3333333333333339,23.333333333333343,-0.7310413333333332,-1.872467666666667,-0.3333333333333339,23.333333333333343,-0.0844031999999999,-1.62187,-0.200000000000001,-4.800000000000011,-0.0844031999999999,-1.62187,-0.200000000000001,-4.800000000000011,1.0551718663173772,0.1995185073728558,0.2430033102618116,0.5574781823653325,-0.3579596749924767,0.7569966897381883,0.5574781823653325,0.3144748721035209,0.9911178291003736,1,1552.0206508791662,1682.3700386377864,-130.3493877586202,0.4001203610467394,draw,3.9,0.44120756,0.24300331026181163,0.1982042476548296,0.7207094758749009,True,2.9,False
EPL 2025_245_72_2025-08-18 19:00:00,2025-08-18 19:00:00,EPL,2025,245,Leeds,72,Everton,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,3.52,3.06,72,Everton,,,,,,,1.2334056578947368,4.894736842105263,1.4121864736842105,7.026315789473684,298.44736842105266,20.894736842105264,,,,,,,1.2334056578947368,4.894736842105263,1.4121864736842105,7.026315789473684,298.44736842105266,20.894736842105264,,,,,,,1.2334056578947368,4.894736842105263,1.4121864736842105,7.026315789473683,298.44736842105266,20.894736842105264,0.0,,,6.315789473684211,12.63157894736842,,0,0,0,1.263157894736842,1.2334056578947368,1.4121864736842105,4.894736842105263,7.026315789473684,298.44736842105266,20.894736842105264,38.0,,1.263157894736842,,,,,,,1.2334056578947368,1.4121864736842105,4.894736842105263,7.026315789473684,298.44736842105266,20.894736842105264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0328292229818663,0.4085292310493138,0.2750608743144528,0.3164098946362333,0.0921193364130805,0.7249391256855471,0.4085292310493138,0.0921193364130805,1.0848485507278676,2,1463.314293353077,1523.120767187708,-59.80647383463133,0.5002785065108729,draw,3.52,0.49759695,0.27506087431445286,0.2225360750244601,0.7515412616729737,False,-1.0,False
EPL 2025_245_82_2025-10-04 11:30:00,2025-10-04 11:30:00,EPL,2025,245,Leeds,82,Tottenham,l,2.04728,3.0,1.06033,9.0,262.0,26.0,2.04728,3.0,1.06033,9.0,262.0,26.0,1.1115553333333337,5.0,1.2554066666666668,7.666666666666667,260.3333333333333,21.666666666666668,1.1115553333333337,5.0,1.2554066666666668,7.666666666666667,260.3333333333333,21.666666666666668,0.8337454000000001,4.2,1.361493,6.6,305.2,20.4,0.8337454000000001,4.2,1.361493,6.6,305.2,20.4,6.0,5.0,8.0,5.0,8.0,0.1999999999999999,0,2,1,,,,,,,,,1.3333333333333333,1.3333333333333333,1.0916545,1.2469671666666666,4.333333333333333,5.833333333333333,296.1666666666667,19.666666666666668,1.0916545,1.2469671666666666,4.333333333333333,5.833333333333333,296.1666666666667,19.666666666666668,6.895833333333333,1.199406916979834,0.0199008333333334,0.0084395000000001,2.78,3.56,2.55,82,Tottenham,0.818711,5.0,1.15951,4.0,237.0,14.0,0.818711,5.0,1.15951,4.0,237.0,14.0,1.174847,9.0,1.1191393333333333,3.333333333333333,181.33333333333331,20.0,1.174847,9.0,1.1191393333333333,3.333333333333333,181.33333333333331,20.0,0.9950722,7.0,1.3450036,5.8,193.2,21.4,0.9950722,7.0,1.3450036,5.8,193.2,21.4,6.0,8.0,11.0,8.0,15.0,0.5,0,3,2,1.0,1.720091763157895,1.795552552631579,8.31578947368421,7.368421052631579,207.73684210526315,22.026315789473685,38.0,1.8333333333333333,1.8333333333333333,1.1589901666666669,1.2431926666666666,7.0,5.833333333333333,179.0,20.666666666666668,1.1589901666666669,1.2431926666666666,7.0,5.833333333333333,179.0,20.666666666666668,6.6875,1.6079235252260242,0.0158568333333333,-0.1240533333333333,0.208333333333333,1.031152647975078,-3.0,-3.0,-3.0,-7.0,-0.4085166082461902,0.0040440000000001,0.1324928333333335,,,,-0.5,1.2285690000000002,0.09918,-2.0,-25.0,1.2285690000000002,0.09918,-2.0,-25.0,-0.0632916666666665,-0.1362673333333335,-4.0,-78.99999999999997,-0.0632916666666665,-0.1362673333333335,-4.0,-78.99999999999997,-0.1613267999999997,-0.0164893999999999,-2.8,-112.0,-0.1613267999999997,-0.0164893999999999,-2.8,-112.0,1.0327679693654197,0.3482991735664025,0.2719864332906176,0.37971439314298,-0.0314152195765775,0.7280135667093823,0.37971439314298,0.0314152195765775,1.0891671233383828,0,1474.1273234525625,1487.97514733365,-13.847823881087606,0.5660303951873068,draw,3.56,0.47103062,0.2719864332906176,0.19904418943010077,0.6768690168857574,False,-1.0,False
EPL 2025_71_72_2025-09-13 14:00:00,2025-09-13 14:00:00,EPL,2025,72,Everton,71,Aston Villa,d,2.03791,11.0,0.943257,5.0,311.0,26.0,2.03791,11.0,0.943257,5.0,311.0,26.0,1.5044693333333334,6.0,1.803109,6.0,295.6666666666667,17.666666666666668,1.5044693333333334,6.0,1.803109,6.0,295.6666666666667,17.666666666666668,1.5044693333333334,6.0,1.803109,6.0,295.6666666666667,17.666666666666668,1.3960438631578946,5.557894736842106,1.6467399894736845,6.410526315789474,296.7789473684211,18.957894736842103,3.0,6.0,6.0,8.526315789473685,14.842105263157894,0.6,2,2,0,1.263157894736842,1.2334056578947368,1.4121864736842105,4.894736842105263,7.026315789473684,298.44736842105266,20.894736842105264,38.0,2.0,2.0,1.5044693333333334,1.803109,6.0,6.0,295.6666666666667,17.666666666666668,1.5044693333333334,1.803109,6.0,6.0,295.6666666666667,17.666666666666668,14.0,1.3293723941355684,0.0,0.0,2.46,3.41,3.01,71,Aston Villa,1.20586,6.0,2.59713,5.0,222.0,21.0,1.20586,6.0,2.59713,5.0,222.0,21.0,0.833771,7.333333333333333,1.70925,4.333333333333333,180.33333333333331,16.666666666666668,0.833771,7.333333333333333,1.70925,4.333333333333333,180.33333333333331,16.666666666666668,0.833771,7.333333333333333,1.70925,4.333333333333333,180.33333333333331,16.666666666666668,1.1990546631578949,7.4,1.6044774,5.210526315789474,201.44210526315788,17.52631578947368,3.0,1.0,1.0,4.473684210526316,13.157894736842106,0.1,-2,0,3,1.736842105263158,1.7469801578947368,1.4473185,7.5,6.526315789473684,233.10526315789477,18.81578947368421,38.0,0.3333333333333333,0.3333333333333333,0.833771,1.70925,7.333333333333333,4.333333333333333,180.33333333333331,16.666666666666668,0.833771,1.70925,7.333333333333333,4.333333333333333,180.33333333333331,16.666666666666668,12.833333333333334,0.3997900301162669,0.0,0.0,1.166666666666666,1.0909090909090908,5.0,5.0,4.052631578947369,1.6842105263157876,0.9295823640193016,0.0,0.0,-0.4736842105263159,-0.5135745,0.0351320263157894,1.6666666666666667,0.8320500000000002,1.653873,5.0,-89.0,0.8320500000000002,1.653873,5.0,-89.0,0.6706983333333334,-0.0938590000000001,-1.333333333333333,-115.33333333333334,0.6706983333333334,-0.0938590000000001,-1.333333333333333,-115.33333333333334,0.6706983333333334,-0.0938590000000001,-1.333333333333333,-115.33333333333334,0.1969891999999999,-0.0422625894736843,-1.8421052631578947,-95.3368421052632,1.0319851106267222,0.3939049709678286,0.2841660494372018,0.3219289795949696,0.071975991372859,0.7158339505627982,0.3939049709678286,0.071975991372859,1.0893987004279049,1,1532.5260732824922,1552.9792919314698,-20.453218648977558,0.5566678731781921,draw,3.41,0.52474046,0.28416604943720186,0.24057440809758818,0.7893649601936341,True,2.41,False
