CHAMP,Equipe1,cote,Equipe2,Predicted_Result_Equipe1,Confidence_Equipe1,Predicted_Result_Equipe2,Confidence_Equipe2,expectation of gain
ES1,Getafe,"['2.35', '2.70', '2.60']",Valencia,Draw,0.99,Draw,0.94,2.673
ANP,Manchester United,"['1.42', '3.90', '4.60']",Bournemouth,Win,0.91,Lose,1.0,1.2922
IT1,Atalanta,"['2.35', '3.10', '2.70']",AC Milan,Lose,0.71,Win,0.64,1.917
ES1,Villarreal,"['3.05', '3.25', '2.05']",Real Sociedad,Lose,0.78,Win,0.49,1.599
FR1,Paris Saint Germain,"['1.13', '5.00', '8.00']",Nantes,Win,0.99,Lose,1.0,1.1186999999999998
ES1,Atletico Madrid,"['1.15', '5.25', '8.25']",Almeria,Win,1.0,Lose,1.0,1.15
ANP,Fulham,"['2.25', '3.30', '2.70']",West Ham,Lose,0.76,Win,0.48,2.052
ANP,Luton,"['11.00', '5.50', '1.10']",Manchester City,Lose,1.0,Win,0.97,1.1
FR1,Metz,"['2.95', '2.90', '1.95']",Brest,Draw,0.61,Draw,0.92,1.769
FR1,Strasbourg,"['1.90', '2.85', '3.15']",Le Havre,Draw,0.56,Draw,1.0,1.5960000000000003
ES1,Granada,"['4.10', '3.50', '1.52']",Athletic Club,Lose,1.0,Win,0.55,1.52
ANP,Tottenham,"['2.20', '3.60', '2.55']",Newcastle United,Draw,0.54,Draw,0.59,1.9440000000000002
IT1,Salernitana,"['3.10', '2.95', '1.90']",Bologna,Draw,0.9,Draw,1.0,2.6550000000000002
FR1,Lorient,"['3.75', '3.20', '1.60']",Marseille,Draw,0.74,Draw,0.99,2.368
IT1,Roma,"['2.00', '3.15', '3.30']",Fiorentina,Draw,0.83,Draw,0.64,2.6144999999999996
,,,,,,,,
