CHAMP,Equipe1,cote,Equipe2
AL1,HOFFENHEIM,"['1.48', '3.60', '4.00']",BOCHUM
IT1,JUVENTUS,"['2.30', '3.15', '2.75']",NAPOLI
ES1,GETAFE,"['2.35', '2.70', '2.60']",VALENCE
FR1,MONTPELLIER,"['2.70', '3.00', '2.00']",LENS
