CHAMP,Equipe1,cote,Equipe2
AL1,COLOGNE,"['7.25', '5.25', '1.15']",BAYERN
ES1,ALAVES,"['1.62', '3.20', '4.00']",GRANADA
FR1,PARIS ST GERMAIN,"['1.32', '4.25', '4.90']",MONACO
