CHAMP,Equipe1,cote,Equipe2
AL1,DARMSTADT,"['2.45', '3.05', '2.15']",COLOGNE
IT1,MONZA,"['3.45', '3.20', '1.92']",JUVENTUS
ES1,LAS PALMAS,"['2.05', '2.75', '3.00']",GETAFE
FR1,REIMS,"['1.60', '3.25', '3.75']",STRASBOURG
