CHAMP,Equipe1,cote,Equipe2
IT1,VERONA,"['2.35', '2.70', '2.60']",LECCE
IT1,BOLOGNE,"['2.00', '2.85', '3.00']",TORINO
ANP,FULHAM,"['2.15', '2.95', '2.65']",WOLVES
ES1,GIRONA,"['2.00', '3.20', '2.70']",ATHLETIC BILBAO
