CHAMP,Equipe1,cote,Equipe2
IT1,LECCE,"['2.60', '2.85', '2.25']",BOLOGNE
FR1,LE HAVRE,"['7.00', '4.40', '1.20']",PARIS ST GERMAIN
ES1,MALLORCA,"['2.15', '2.70', '2.90']",ALAVES
ANP,BOURNEMOUTH,"['3.05', '3.45', '1.78']",ASTON VILLA
ANP,CHELSEA,"['1.67', '4.20', '4.10']",BRIGHTON
ANP,LIVERPOOL,"['1.18', '5.00', '7.50']",FULHAM
ANP,WEST HAM,"['1.80', '3.10', '3.30']",CRYSTAL PALACE
FR1,BREST,"['1.65', '3.10', '3.75']",CLERMONT
FR1,MONACO,"['1.45', '3.75', '4.10']",MONTPELLIER
FR1,TOULOUSE,"['1.80', '3.00', '3.25']",LORIENT
IT1,FIORENTINA,"['1.35', '4.00', '5.50']",SALERNITANA
IT1,UDINESE,"['1.60', '3.15', '4.10']",VERONA
AL1,MAINZ,"['2.00', '3.05', '2.70']",FREIBURG
ES1,ALMERIA,"['2.90', '3.20', '1.90']",BETIS
FR1,LILLE,"['1.25', '4.00', '6.50']",METZ
AL1,LEVERKUSEN,"['1.55', '4.10', '4.30']",DORTMUND
ANP,MANCHESTER CITY,"['1.25', '5.40', '7.25']",TOTTENHAM
IT1,SASSUOLO,"['3.05', '3.20', '1.85']",ROMA
ES1,SEVILLE,"['2.10', '3.60', '3.05']",VILLARREAL
AL1,AUGSBURG,"['2.35', '3.10', '2.20']",EINTRACHT FRANCFORT
FR1,MARSEILLE,"['1.72', '3.20', '3.30']",RENNES
IT1,NAPOLI,"['2.65', '3.25', '2.30']",INTER
ES1,BARCELONE,"['1.82', '3.45', '3.50']",ATLETICO MADRID
