CHAMP,Equipe1,cote,Equipe2
ANP,CRYSTAL PALACE,"['4.75', '3.75', '1.42']",LIVERPOOL
ES1,ALAVES,"['1.85', '2.85', '3.50']",LAS PALMAS
IT1,VERONA,"['3.50', '3.00', '1.78']",LAZIO
AL1,EINTRACHT FRANCFORT,"['6.25', '4.40', '1.23']",BAYERN
AL1,HEIDENHEIM,"['1.85', '3.15', '3.00']",DARMSTADT
AL1,UNION BERLIN,"['1.90', '3.15', '2.80']",GLADBACH
AL1,WERDER BREMEN,"['2.10', '3.15', '2.45']",AUGSBURG
AL1,WOLFSBURG,"['2.00', '3.15', '2.65']",FREIBURG
ANP,BRIGHTON,"['1.38', '4.00', '5.00']",BURNLEY
ANP,MANCHESTER UTD,"['1.42', '3.90', '4.60']",BOURNEMOUTH
ANP,SHEFFIELD UTD,"['3.90', '3.35', '1.60']",BRENTFORD
ANP,WOLVES,"['1.68', '3.15', '3.75']",NOTTINGHAM FOREST
ES1,BETIS,"['3.50', '3.40', '1.68']",REAL MADRID
FR1,RENNES,"['2.15', '3.15', '2.40']",MONACO
IT1,ATALANTA,"['2.35', '3.10', '2.70']",MILAN
AL1,DORTMUND,"['2.40', '3.60', '2.35']",RB LEIPZIG
ANP,ASTON VILLA,"['3.05', '3.45', '1.98']",ARSENAL
ES1,VILLARREAL,"['3.05', '3.25', '2.05']",SOCIEDAD
IT1,INTER,"['1.18', '4.75', '8.00']",UDINESE
ES1,MALLORCA,"['2.40', '2.80', '2.45']",SEVILLE
FR1,PARIS ST GERMAIN,"['1.13', '5.00', '8.00']",NANTES
