CHAMP,Equipe1,cote,Equipe2
IT1,CAGLIARI,"['2.60', '2.95', '2.20']",MONZA
FR1,NICE,"['1.38', '3.50', '5.25']",TOULOUSE
ES1,VILLARREAL,"['1.95', '3.10', '2.90']",OSASUNA
ANP,TOTTENHAM,"['2.05', '3.40', '2.50']",ASTON VILLA
FR1,LORIENT,"['1.75', '3.00', '3.40']",METZ
FR1,MONTPELLIER,"['2.05', '3.00', '2.70']",BREST
FR1,NANTES,"['1.85', '2.95', '3.10']",LE HAVRE
IT1,EMPOLI,"['2.45', '3.15', '2.20']",SASSUOLO
IT1,FROSINONE,"['2.20', '2.90', '2.60']",GENOA
AL1,HEIDENHEIM,"['1.95', '3.20', '2.65']",BOCHUM
ES1,SOCIEDAD,"['1.60', '3.20', '4.00']",SEVILLE
FR1,RENNES,"['1.75', '3.15', '3.25']",REIMS
AL1,HOFFENHEIM,"['1.68', '3.40', '3.25']",MAINZ
ANP,EVERTON,"['2.45', '3.10', '2.20']",MANCHESTER UTD
IT1,ROMA,"['1.50', '3.35', '4.75']",UDINESE
ES1,CADIZ,"['5.50', '4.00', '1.35']",REAL MADRID
FR1,LYON,"['2.60', '2.95', '2.10']",LILLE
IT1,JUVENTUS,"['3.00', '3.20', '2.10']",INTER
ES1,BETIS,"['1.55', '3.25', '4.40']",LAS PALMAS
