CHAMP,Equipe1,cote,Equipe2
ANP,MANCHESTER CITY,"['1.60', '4.00', '4.10']",LIVERPOOL
ES1,RAYO VALLECANO,"['4.25', '3.50', '1.50']",BARCELONE
IT1,SALERNITANA,"['4.00', '3.25', '1.60']",LAZIO
AL1,DORTMUND,"['1.35', '4.25', '4.50']",GLADBACH
AL1,FREIBURG,"['1.42', '3.60', '4.60']",DARMSTADT
AL1,UNION BERLIN,"['1.72', '3.15', '3.30']",AUGSBURG
AL1,WERDER BREMEN,"['4.75', '4.10', '1.35']",LEVERKUSEN
AL1,WOLFSBURG,"['3.15', '3.40', '1.70']",RB LEIPZIG
ANP,BURNLEY,"['3.00', '3.20', '1.85']",WEST HAM
ANP,LUTON,"['3.15', '2.95', '1.90']",CRYSTAL PALACE
ANP,NEWCASTLE,"['2.35', '3.40', '2.50']",CHELSEA
ANP,NOTTINGHAM FOREST,"['2.75', '3.20', '2.00']",BRIGHTON
ANP,SHEFFIELD UTD,"['2.80', '3.15', '2.00']",BOURNEMOUTH
ES1,VALENCE,"['1.95', '2.95', '3.05']",CELTA
FR1,CLERMONT,"['3.30', '3.00', '1.78']",LENS
IT1,ATALANTA,"['2.40', '3.05', '2.30']",NAPOLI
AL1,EINTRACHT FRANCFORT,"['2.20', '3.15', '2.30']",STUTTGART
ANP,BRENTFORD,"['3.90', '3.30', '1.60']",ARSENAL
ES1,GETAFE,"['1.52', '3.30', '4.50']",ALMERIA
IT1,MILAN,"['1.85', '3.05', '3.25']",FIORENTINA
ES1,ATLETICO MADRID,"['1.28', '3.90', '7.00']",MALLORCA
FR1,STRASBOURG,"['3.35', '3.10', '1.72']",MARSEILLE
