h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.33103,1.83219,2.33103,1.07791,"{'att': 301, 'def': 20}","{'att': 126, 'def': 13}",1,4,2,2,1.7511999999999999,d,2022-07-17 17:00:00,0,1,0,1,1.2531200000000002
a,1.48214,1.17942,1.48214,1.17942,"{'att': 174, 'def': 15}","{'att': 251, 'def': 13}",5,8,1,2,1.5904,l,2022-07-24 17:00:00,0,0,1,0,0.3027200000000001
h,1.07363,1.57022,1.07363,0.815948,"{'att': 191, 'def': 20}","{'att': 186, 'def': 11}",7,7,3,3,0.9235,d,2022-07-30 12:00:00,0,1,0,1,0.2576820000000001
a,0.889231,2.5752,0.134956,1.82093,"{'att': 230, 'def': 29}","{'att': 141, 'def': 15}",2,16,1,4,0.2661,l,2022-08-06 14:30:00,0,0,1,0,-1.6859739999999999
h,0.777784,0.852312,0.777784,0.852312,"{'att': 230, 'def': 15}","{'att': 153, 'def': 19}",15,5,0,0,1.2444000000000002,d,2022-08-12 17:00:00,0,1,0,1,-0.07452799999999993
a,0.642484,0.80164,0.642484,0.80164,"{'att': 251, 'def': 24}","{'att': 205, 'def': 13}",8,3,1,1,1.1997,d,2022-08-19 16:00:00,0,1,0,1,-0.15915599999999996
h,1.05315,1.75666,1.05315,1.75666,"{'att': 200, 'def': 21}","{'att': 119, 'def': 14}",5,10,1,4,0.8533000000000001,l,2022-08-27 14:30:00,0,0,1,0,-0.7035100000000001
a,0.357144,2.52992,0.357144,1.02137,"{'att': 272, 'def': 15}","{'att': 151, 'def': 17}",5,4,1,3,0.0886,l,2022-09-03 12:00:00,0,0,1,0,-0.6642259999999999
h,0.826409,0.910801,0.826409,0.910801,"{'att': 210, 'def': 23}","{'att': 135, 'def': 24}",6,11,2,0,1.2871,w,2022-09-11 12:00:00,1,0,0,3,-0.08439200000000002
a,0.33879,1.4973,0.33879,1.4973,"{'att': 296, 'def': 26}","{'att': 98, 'def': 10}",1,10,1,1,0.3883,d,2022-09-18 13:30:00,0,1,0,1,-1.1585100000000002
h,1.28362,0.491809,1.28362,0.491809,"{'att': 159, 'def': 15}","{'att': 133, 'def': 17}",5,5,2,2,2.0704000000000002,d,2022-10-02 11:00:00,0,1,0,1,0.791811
h,0.248714,1.61005,0.248714,1.61005,"{'att': 323, 'def': 15}","{'att': 73, 'def': 12}",0,19,1,1,0.33799999999999997,d,2022-10-08 11:00:00,0,1,0,1,-1.361336
a,1.3576,0.973422,1.3576,0.973422,"{'att': 209, 'def': 18}","{'att': 91, 'def': 16}",5,8,0,0,1.6482,d,2022-10-15 11:00:00,0,1,0,1,0.3841779999999999
h,1.65186,1.52786,0.89758,1.52786,"{'att': 160, 'def': 12}","{'att': 135, 'def': 20}",4,11,1,1,1.4585000000000001,d,2022-10-22 13:30:00,0,1,0,1,-0.63028
a,1.65857,3.68864,1.65857,2.93436,"{'att': 186, 'def': 21}","{'att': 204, 'def': 23}",9,4,1,4,0.2786,l,2022-10-28 14:30:00,0,0,1,0,-1.2757899999999998
h,0.735037,2.8963,0.735037,1.38775,"{'att': 235, 'def': 17}","{'att': 112, 'def': 15}",10,7,3,3,0.1711,d,2022-11-05 13:30:00,0,1,0,1,-0.652713
a,0.591323,2.0639,0.591323,2.0639,"{'att': 192, 'def': 14}","{'att': 146, 'def': 10}",3,21,0,2,0.35250000000000004,l,2022-11-12 09:00:00,0,0,1,0,-1.4725769999999998
h,1.55237,1.10253,1.55237,0.348254,"{'att': 91, 'def': 21}","{'att': 109, 'def': 23}",6,1,1,1,1.7567,d,2023-03-03 16:00:00,0,1,0,1,1.204116
a,1.1654,3.09781,0.411125,3.09781,"{'att': 337, 'def': 15}","{'att': 93, 'def': 10}",4,13,2,3,0.23959999999999998,l,2023-03-11 13:30:00,0,0,1,0,-2.6866849999999998
h,1.38088,0.0417534,0.626607,0.0417534,"{'att': 142, 'def': 28}","{'att': 110, 'def': 31}",2,1,3,0,2.7082,w,2023-03-18 13:30:00,1,0,0,3,0.5848536
h,0.393934,1.54074,0.393934,0.786466,"{'att': 134, 'def': 21}","{'att': 127, 'def': 12}",4,8,0,2,0.37229999999999996,l,2023-04-02 13:30:00,0,0,1,0,-0.392532
a,1.08515,0.659563,1.08515,0.659563,"{'att': 159, 'def': 29}","{'att': 175, 'def': 17}",10,5,0,2,1.7433999999999998,l,2023-04-08 11:00:00,0,0,1,0,0.42558700000000005
h,1.0892,0.499743,1.0892,0.499743,"{'att': 117, 'def': 22}","{'att': 140, 'def': 26}",6,4,1,1,1.8783,d,2023-04-16 13:30:00,0,1,0,1,0.5894569999999999
h,1.28558,2.38822,0.5313,0.730445,"{'att': 135, 'def': 25}","{'att': 119, 'def': 15}",7,4,1,3,0.4854,l,2023-04-22 13:30:00,0,0,1,0,-0.19914500000000002
a,1.13315,1.46541,0.378876,1.46541,"{'att': 289, 'def': 8}","{'att': 117, 'def': 18}",1,12,2,0,1.0987,w,2023-04-28 17:00:00,1,0,0,3,-1.086534
a,0.474894,0.489886,0.474894,0.489886,"{'att': 223, 'def': 15}","{'att': 96, 'def': 21}",4,12,2,0,1.2515,w,2023-05-06 16:00:00,1,0,0,3,-0.014992000000000005
h,1.57652,0.264197,0.822241,0.264197,"{'att': 167, 'def': 28}","{'att': 116, 'def': 10}",3,6,1,0,2.6044,w,2023-05-14 16:00:00,1,0,0,3,0.558044
a,1.24332,0.771737,1.24332,0.771737,"{'att': 288, 'def': 17}","{'att': 77, 'def': 16}",4,6,0,1,1.7719999999999998,l,2023-05-20 11:00:00,0,0,1,0,0.471583
h,1.40496,0.550495,1.40496,0.550495,"{'att': 174, 'def': 22}","{'att': 72, 'def': 15}",5,4,2,1,2.1502999999999997,w,2023-05-28 13:30:00,1,0,0,3,0.854465
a,0.229928,1.12504,0.229928,1.12504,"{'att': 406, 'def': 38}","{'att': 74, 'def': 17}",4,6,0,1,0.4989,l,2023-06-03 14:00:00,0,0,1,0,-0.895112
