team,momentum,last_two_match_result,form_indicator_last_2,win_loss_ratio_last_2,momentum_squared,momentum_cubed,win_ratio_last_5,weighted_form_last_5,std_dev_result_last_5,last_match_xG,last_match_xGA,last_match_xpts,result
Alaves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
Alaves,2.0,2.0,1.0,1.0,4.0,8.0,0.2,1.1111111111111112,1.0,0.227442,0.822358,0.6938,2.0
Alaves,2.0,2.0,1.0,1.0,4.0,8.0,0.2,0.6666666666666666,0.9428090415820634,2.17962,0.958638,2.2818,0.0
Alaves,2.0,2.0,1.0,1.0,4.0,8.0,0.4,1.1428571428571428,1.0,0.860623,2.67029,0.293,2.0
Alaves,2.0,2.0,1.0,1.0,4.0,8.0,0.4,0.8,0.9797958971132713,1.90475,0.715753,2.3945,0.0
Alaves,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5333333333333333,0.9797958971132713,0.556231,2.64605,0.1866,0.0
Alaves,1.0,1.0,0.5,0.0,1.0,1.0,0.2,0.6,0.7999999999999999,1.97317,1.77623,1.5326,1.0
Alaves,1.0,1.0,0.5,0.0,1.0,1.0,0.2,0.4,0.7999999999999999,2.39712,0.497466,2.6513000000000004,0.0
Alaves,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5333333333333333,0.48989794855663565,1.5824,1.26744,1.614,1.0
Alaves,2.0,2.0,1.0,0.0,4.0,8.0,0.0,0.7333333333333333,0.48989794855663565,1.89594,0.872851,2.18,1.0
Alaves,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5333333333333333,0.48989794855663565,1.79896,1.71642,1.4176000000000002,0.0
Alaves,2.0,2.0,1.0,1.0,4.0,8.0,0.2,1.0,0.7483314773547883,0.385398,1.94088,0.2917,2.0
Alaves,2.0,2.0,1.0,1.0,4.0,8.0,0.2,0.7333333333333333,0.7483314773547883,2.57982,0.893084,2.5086,0.0
Alaves,2.0,2.0,1.0,1.0,4.0,8.0,0.4,1.1333333333333333,0.8944271909999159,1.83858,1.81139,1.3946999999999998,2.0
Alaves,3.0,3.0,1.5,0.0,9.0,27.0,0.4,1.1333333333333333,0.8944271909999159,0.871813,1.13855,1.0038,1.0
Alaves,1.0,1.0,1.0,0.0,1.0,1.0,0.4,,0.82915619758885,0.277842,0.909609,0.6605000000000001,
Almeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
Almeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1196,2.09532,0.6135,0.0
Almeria,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.4166666666666667,0.4714045207910317,1.81328,2.8802,0.765,1.0
Almeria,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.2857142857142857,0.4330127018922193,0.271622,1.56203,0.195,0.0
Almeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,3.16421,1.96028,2.1675,0.0
Almeria,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.4666666666666667,0.48989794855663565,1.76794,1.43205,1.6308,1.0
Almeria,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.3333333333333333,0.48989794855663565,2.46387,0.995742,2.4649,0.0
Almeria,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5333333333333333,0.48989794855663565,1.37069,2.90509,0.4738,1.0
Almeria,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.4,0.48989794855663565,2.24188,3.51421,0.5927,0.0
Almeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.48989794855663565,0.0892217,3.02889,0.0339,0.0
Almeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.4000000000000001,0.878392,2.1972,0.4585,0.0
Almeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.4000000000000001,0.275712,1.06446,0.5632,0.0
Almeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893084,2.57982,0.3447,0.0
Almeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637245,2.53693,0.1903,0.0
Almeria,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.3333333333333333,0.4,1.72918,1.39391,1.6843,1.0
Almeria,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.4330127018922193,2.69938,0.769817,2.6605000000000003,
Athletic Club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
Athletic Club,2.0,2.0,1.0,1.0,4.0,8.0,0.2,1.1111111111111112,1.0,0.700577,1.33266,0.8239,2.0
Athletic Club,4.0,4.0,2.0,0.0,16.0,64.0,0.4,1.5,0.9428090415820634,1.88906,1.33582,1.8572,2.0
Athletic Club,3.0,3.0,1.5,0.0,9.0,27.0,0.4,1.3571428571428572,0.82915619758885,2.86727,0.346198,2.8912,1.0
Athletic Club,3.0,3.0,1.5,0.0,9.0,27.0,0.6,1.6,0.8,0.645541,0.403052,1.521,2.0
Athletic Club,4.0,4.0,2.0,0.0,16.0,64.0,0.8,1.8,0.4,4.05837,0.238836,2.9709,2.0
Athletic Club,3.0,3.0,1.5,0.0,9.0,27.0,0.6,1.5333333333333334,0.4898979485566356,1.77623,1.97317,1.2218,1.0
Athletic Club,1.0,1.0,0.5,0.0,1.0,1.0,0.4,1.0,0.7483314773547883,0.60877,1.30782,0.7339,0.0
Athletic Club,2.0,2.0,1.0,1.0,4.0,8.0,0.6,1.2666666666666666,0.8,1.96039,1.38238,1.8128,2.0
Athletic Club,2.0,2.0,1.0,1.0,4.0,8.0,0.4,0.8,0.8944271909999159,3.02889,0.0892217,2.9373,0.0
Athletic Club,1.0,1.0,0.5,0.0,1.0,1.0,0.2,0.8,0.7483314773547883,0.453295,1.70266,0.4039,1.0
Athletic Club,3.0,3.0,1.5,0.0,9.0,27.0,0.4,1.2,0.8944271909999159,1.63308,2.17868,0.9656,2.0
Athletic Club,4.0,4.0,2.0,0.0,16.0,64.0,0.6,1.5333333333333334,0.8,2.22797,1.78074,1.6958,2.0
Athletic Club,3.0,3.0,1.5,0.0,9.0,27.0,0.4,1.4,0.7483314773547883,4.72334,2.25302,2.6705,1.0
Athletic Club,3.0,3.0,1.5,0.0,9.0,27.0,0.6,1.6666666666666667,0.4898979485566356,1.67266,1.36177,1.6029,2.0
Athletic Club,2.0,2.0,2.0,0.0,4.0,8.0,0.6,,0.4330127018922193,1.6869,0.34629,2.4564,
Atletico Madrid,2.0,2.0,2.0,0.0,4.0,8.0,0.2,2.0,0.0,,,,2.0
Atletico Madrid,3.0,3.0,1.5,0.0,9.0,27.0,0.2,1.4444444444444444,0.5,3.01246,1.13452,2.589,1.0
Atletico Madrid,3.0,3.0,1.5,0.0,9.0,27.0,0.4,1.6666666666666667,0.4714045207910317,0.34492,1.02642,0.6751,2.0
Atletico Madrid,2.0,2.0,1.0,1.0,4.0,8.0,0.4,1.0714285714285714,0.82915619758885,3.29424,0.542939,2.8391,0.0
Atletico Madrid,2.0,2.0,1.0,1.0,4.0,8.0,0.6,1.3333333333333333,0.8,0.564083,2.22142,0.2588,2.0
Atletico Madrid,4.0,4.0,2.0,0.0,16.0,64.0,0.6,1.5333333333333334,0.8,1.79578,0.847915,2.1228,2.0
Atletico Madrid,4.0,4.0,2.0,0.0,16.0,64.0,0.8,1.7333333333333334,0.8000000000000002,1.22827,0.759357,1.8497,2.0
Atletico Madrid,4.0,4.0,2.0,0.0,16.0,64.0,0.8,1.8666666666666667,0.8000000000000002,3.10102,0.677345,2.7783,2.0
Atletico Madrid,4.0,4.0,2.0,0.0,16.0,64.0,1.0,2.0,0.0,2.94239,0.928071,2.6087,2.0
Atletico Madrid,4.0,4.0,2.0,0.0,16.0,64.0,1.0,2.0,0.0,2.39246,1.26757,2.193,2.0
Atletico Madrid,2.0,2.0,1.0,1.0,4.0,8.0,0.8,1.3333333333333333,0.8,1.94088,0.385398,2.5504,0.0
Atletico Madrid,2.0,2.0,1.0,1.0,4.0,8.0,0.8,1.4666666666666666,0.8,1.52768,0.452709,2.2448,2.0
Atletico Madrid,4.0,4.0,2.0,0.0,16.0,64.0,0.8,1.6,0.8,3.93786,0.868854,2.8694,2.0
Atletico Madrid,2.0,2.0,1.0,1.0,4.0,8.0,0.6,1.0666666666666667,0.9797958971132713,2.29683,0.945212,2.3242000000000003,0.0
Atletico Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.4,,1.0,0.996297,3.18789,0.2232,
Barcelona,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,1.0
Barcelona,3.0,3.0,1.5,0.0,9.0,27.0,0.2,1.5555555555555556,0.5,1.67817,0.804505,2.0593,2.0
Barcelona,4.0,4.0,2.0,0.0,16.0,64.0,0.4,1.75,0.4714045207910317,3.42524,1.11132,2.649,2.0
Barcelona,4.0,4.0,2.0,0.0,16.0,64.0,0.6,1.8571428571428572,0.4330127018922193,2.95807,1.87195,2.0747,2.0
Barcelona,4.0,4.0,2.0,0.0,16.0,64.0,0.8,1.9333333333333333,0.4000000000000001,1.77255,0.801843,2.24,2.0
Barcelona,4.0,4.0,2.0,0.0,16.0,64.0,1.0,2.0,0.0,2.54628,0.852869,2.4978,2.0
Barcelona,3.0,3.0,1.5,0.0,9.0,27.0,0.8,1.6666666666666667,0.4,1.82246,1.67938,1.5047,1.0
Barcelona,3.0,3.0,1.5,0.0,9.0,27.0,0.8,1.7333333333333334,0.4,1.62815,1.21366,1.6906,2.0
Barcelona,3.0,3.0,1.5,0.0,9.0,27.0,0.6,1.4666666666666666,0.4898979485566356,2.5598,1.07557,2.3662,1.0
Barcelona,3.0,3.0,1.5,0.0,9.0,27.0,0.6,1.6,0.4898979485566356,2.99552,0.611577,2.8416,2.0
Barcelona,2.0,2.0,1.0,1.0,4.0,8.0,0.4,1.0666666666666667,0.7483314773547883,1.70266,0.453295,2.3968000000000003,0.0
Barcelona,2.0,2.0,1.0,1.0,4.0,8.0,0.6,1.3333333333333333,0.8,1.32038,0.959404,1.6608,2.0
Barcelona,4.0,4.0,2.0,0.0,16.0,64.0,0.6,1.5333333333333334,0.8,1.22041,0.84705,1.6665,2.0
Barcelona,3.0,3.0,1.5,0.0,9.0,27.0,0.6,1.4,0.8,1.81139,1.83858,1.3178999999999998,1.0
Barcelona,3.0,3.0,1.5,0.0,9.0,27.0,0.6,1.6,0.8,1.30627,0.912299,1.6478,2.0
Barcelona,2.0,2.0,2.0,0.0,4.0,8.0,0.6,,0.4330127018922193,3.18789,0.996297,2.6799000000000004,
Cadiz,2.0,2.0,2.0,0.0,4.0,8.0,0.2,2.0,0.0,,,,2.0
Cadiz,2.0,2.0,1.0,1.0,4.0,8.0,0.2,0.8888888888888888,1.0,0.822358,0.227442,1.9001,0.0
Cadiz,1.0,1.0,0.5,0.0,1.0,1.0,0.2,0.9166666666666666,0.816496580927726,1.11132,3.42524,0.2502,1.0
Cadiz,3.0,3.0,1.5,0.0,9.0,27.0,0.4,1.2857142857142858,0.82915619758885,1.56203,0.271622,2.6682,2.0
Cadiz,2.0,2.0,1.0,1.0,4.0,8.0,0.4,0.8666666666666667,0.8944271909999159,1.97214,0.494033,2.5702000000000003,0.0
Cadiz,1.0,1.0,0.5,0.0,1.0,1.0,0.2,0.8666666666666667,0.7483314773547883,0.238836,4.05837,0.0171,1.0
Cadiz,2.0,2.0,1.0,0.0,4.0,8.0,0.2,0.9333333333333333,0.6324555320336759,0.570946,2.70742,0.2081,1.0
Cadiz,1.0,1.0,0.5,0.0,1.0,1.0,0.2,0.6,0.7483314773547883,0.35761,0.258447,1.3171,0.0
Cadiz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.48989794855663565,0.677345,3.10102,0.1467,0.0
Cadiz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.48989794855663565,0.653575,1.26462,0.8185,0.0
Cadiz,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.4,0.48989794855663565,0.551967,1.6763,0.3826,1.0
Cadiz,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.26666666666666666,0.4,1.42705,1.28392,1.4582000000000002,0.0
Cadiz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.821864,1.21452,0.9968,0.0
Cadiz,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.4666666666666667,0.48989794855663565,1.13056,1.84054,0.8146,1.0
Cadiz,2.0,2.0,1.0,0.0,4.0,8.0,0.0,0.6666666666666666,0.48989794855663565,0.251799,0.8514,0.6838,1.0
Cadiz,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.5,0.346727,2.73216,0.0752,
Celta Vigo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
Celta Vigo,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.5555555555555556,0.5,0.783184,0.964645,1.1184,1.0
Celta Vigo,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.3333333333333333,0.4714045207910317,1.77937,0.917678,2.0927,0.0
