h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.91849,2.53482,1.16071,1.77704,"{'att': 312, 'def': 16}","{'att': 190, 'def': 17}",7,12,4,4,0.9212,d,2023-08-19 13:30:00,0,1,0,1,-0.61633
h,1.76423,3.65301,1.76423,3.65301,"{'att': 382, 'def': 24}","{'att': 252, 'def': 17}",11,26,0,3,0.4108,l,2023-08-26 16:30:00,0,0,1,0,-1.8887800000000001
h,0.201237,2.14949,0.201237,2.14949,"{'att': 306, 'def': 8}","{'att': 202, 'def': 31}",2,13,1,2,0.1638,l,2023-09-02 16:30:00,0,0,1,0,-1.9482530000000002
a,3.49324,1.328,2.73546,1.328,"{'att': 160, 'def': 13}","{'att': 294, 'def': 16}",6,4,3,3,2.5803,d,2023-09-17 15:30:00,0,1,0,1,1.4074599999999997
h,0.771966,1.03744,0.771966,1.03744,"{'att': 333, 'def': 19}","{'att': 258, 'def': 21}",2,3,0,1,1.0508,l,2023-09-23 13:30:00,0,0,1,0,-0.2654739999999999
a,2.86793,1.46515,2.86793,1.46515,"{'att': 185, 'def': 16}","{'att': 129, 'def': 20}",7,16,3,1,2.2957,w,2023-09-30 13:30:00,1,0,0,3,1.40278
h,3.01512,1.21309,3.01512,1.21309,"{'att': 234, 'def': 31}","{'att': 317, 'def': 19}",10,3,2,2,2.5113999999999996,d,2023-10-06 18:30:00,0,1,0,1,1.80203
a,0.407008,2.72755,0.407008,1.212,"{'att': 303, 'def': 14}","{'att': 214, 'def': 20}",0,7,1,3,0.0902,l,2023-10-22 13:30:00,0,0,1,0,-0.8049919999999999
h,0.981009,0.395956,0.981009,0.395956,"{'att': 314, 'def': 20}","{'att': 413, 'def': 26}",7,3,2,1,1.8668999999999998,w,2023-10-28 13:30:00,1,0,0,3,0.585053
a,1.92375,3.3903,1.16598,2.63253,"{'att': 317, 'def': 14}","{'att': 272, 'def': 15}",7,12,3,3,0.46209999999999996,d,2023-11-04 14:30:00,0,1,0,1,-1.46655
h,2.094,0.500797,2.094,0.500797,"{'att': 352, 'def': 15}","{'att': 322, 'def': 39}",8,3,4,0,2.5220000000000002,w,2023-11-10 19:30:00,1,0,0,3,1.593203
a,0.789918,3.36754,0.789918,3.36754,"{'att': 356, 'def': 19}","{'att': 311, 'def': 27}",11,10,2,4,0.15489999999999998,l,2023-11-25 14:30:00,0,0,1,0,-2.577622
h,1.60234,1.33696,0.844565,1.33696,"{'att': 276, 'def': 15}","{'att': 281, 'def': 24}",8,8,2,1,1.6196000000000002,w,2023-12-02 14:30:00,1,0,0,3,-0.4923949999999999
